Município,Casos de HIV
411729 Novo Itacolomi,1
411750 Paiçandu,10
411760 Palmas,4
411770 Palmeira,3
411790 Palotina,6
411800 Paraíso do Norte,2
411810 Paranacity,3
411820 Paranaguá,57
411840 Paranavaí,13
411845 Pato Bragado,2
411850 Pato Branco,24
411870 Paulo Frontin,1
411880 Peabiru,4
411900 Pérola d'Oeste,1
411915 Pinhais,40
411930 Pinhão,3
411940 Piraí do Sul,5
411950 Piraquara,24
411960 Pitanga,4
411965 Pitangueiras,1
411970 Planaltina do Paraná,1
411990 Ponta Grossa,81
411995 Pontal do Paraná,6
412000 Porecatu,1
412020 Porto Rico,1
412040 Presidente Castelo Branco,1
412060 Prudentópolis,5
412070 Quatiguá,3
412080 Quatro Barras,5
412090 Quedas do Iguaçu,3
412100 Querência do Norte,1
412120 Quitandinha,1
412130 Rancho Alegre,1
412140 Realeza,1
412150 Rebouças,2
412160 Renascença,1
412170 Reserva,1
412180 Ribeirão Claro,1
412190 Ribeirão do Pinhal,3
412220 Rio Branco do Sul,4
412230 Rio Negro,6
412240 Rolândia,13
412260 Rondon,1
412270 Sabáudia,1
412300 Salto do Lontra,2
412350 Santa Helena,3
412382 Santa Lúcia,2
412390 Santa Mariana,1
412402 Santa Tereza do Oeste,1
412405 Santa Terezinha de Itaipu,4
412400 Santana do Itararé,2
412410 Santo Antônio da Platina,3
412440 Santo Antônio do Sudoeste,1
412450 Santo Inácio,1
412470 São Jerônimo da Serra,1
412500 São João do Ivaí,2
412520 São Jorge d'Oeste,2
412550 São José dos Pinhais,63
412570 São Miguel do Iguaçu,7
412575 São Pedro do Iguaçu,4
412580 São Pedro do Ivaí,2
412600 São Sebastião da Amoreira,2
412620 Sapopema,1
412625 Sarandi,18
412640 Sertaneja,1
412650 Sertanópolis,5
412660 Siqueira Campos,1
412680 Tapejara,1
412700 Teixeira Soares,1
412710 Telêmaco Borba,3
412720 Terra Boa,1
412730 Terra Rica,1
412740 Terra Roxa,2
412750 Tibagi,2
412760 Tijucas do Sul,2
412770 Toledo,27
412785 Três Barras do Paraná,4
412795 Tupãssi,1
412800 Ubiratã,3
412810 Umuarama,13
412820 União da Vitória,7
412840 Uraí,2
412853 Ventania,1
412855 Vera Cruz do Oeste,1
412860 Verê,2
412870 Vitorino,1
412850 Wenceslau Braz,3
420005 Abdon Batista,2
420010 Abelardo Luz,1
420020 Agrolândia,1
420030 Agronômica,1
420040 Água Doce,1
420050 Águas de Chapecó,1
420060 Águas Mornas,1
420120 Antônio Carlos,1
420125 Apiúna,1
420127 Arabutã,1
420130 Araquari,9
420140 Araranguá,25
420150 Armazém,1
420190 Aurora,2
420195 Balneário Arroio do Silva,6
420205 Balneário Barra do Sul,3
420200 Balneário Camboriú,88
420207 Balneário Gaivota,1
420208 Bandeirante,1
420210 Barra Velha,9
420220 Benedito Novo,2
420230 Biguaçu,34
420240 Blumenau,100
420260 Bom Retiro,1
420245 Bombinhas,2
420280 Braço do Norte,10
420285 Braço do Trombudo,1
420287 Brunópolis,1
420290 Brusque,29
420300 Caçador,5
420320 Camboriú,34
420340 Campo Belo do Sul,1
420350 Campo Erê,1
420360 Campos Novos,9
420370 Canelinha,3
420380 Canoinhas,9
420390 Capinzal,4
420395 Capivari de Baixo,5
420400 Catanduvas,3
420420 Chapecó,49
420425 Cocal do Sul,4
420430 Concórdia,7
420455 Correia Pinto,1
420450 Corupá,1
420460 Criciúma,82
420480 Curitibanos,7
420500 Dionísio Cerqueira,2
420517 Entre Rios,1
420519 Ermo,1
420520 Erval Velho,1
420540 Florianópolis,294
420545 Forquilhinha,6
420550 Fraiburgo,4
420560 Galvão,1
420570 Garopaba,4
420580 Garuva,3
420590 Gaspar,6
420600 Governador Celso Ramos,8
420610 Grão Pará,2
420630 Guabiruba,5
420650 Guaramirim,10
420670 Herval d'Oeste,5
420680 Ibicaré,1
420690 Ibirama,14
420700 Içara,17
420710 Ilhota,1
420720 Imaruí,2
420730 Imbituba,17
420740 Imbuia,1
420750 Indaial,18
420757 Iomerê,1
420765 Iporã do Oeste,1
420768 Ipuaçu,2
420770 Ipumirim,1
420775 Iraceminha,1
420780 Irani,1
420820 Itajaí,134
420830 Itapema,17
420845 Itapoá,4
420850 Ituporanga,1
420880 Jaguaruna,6
420890 Jaraguá do Sul,49
420900 Joaçaba,3
420910 Joinville,164
420915 José Boiteux,4
420930 Lages,53
420940 Laguna,14
420950 Laurentino,2
420960 Lauro Muller,4
420970 Lebon Régis,1
420990 Lontras,2
421000 Luiz Alves,3
421010 Mafra,8
421020 Major Gercino,2
421050 Maravilha,4
421060 Massaranduba,2
421080 Meleiro,1
421105 Monte Carlo,5
421120 Morro da Fumaça,1
421125 Morro Grande,1
421130 Navegantes,25
421160 Nova Veneza,2
421170 Orleans,10
421175 Otacílio Costa,4
421187 Paial,1
421190 Palhoça,83
421200 Palma Sola,1
421205 Palmeira,1
421210 Palmitos,3
421220 Papanduva,1
421250 Penha,6
421260 Peritiba,1
421270 Petrolândia,1
421280 Piçarras,5
421290 Pinhalzinho,1
421320 Pomerode,6
421340 Ponte Serrada,4
421350 Porto Belo,7
421360 Porto União,3
421370 Pouso Redondo,3
421460 Rio do Oeste,2
421480 Rio do Sul,31
421470 Rio dos Cedros,2
421500 Rio Negrinho,2
421510 Rodeio,5
421545 Sangão,4
421550 Santa Cecília,3
421565 Santa Rosa do Sul,3
421570 Santo Amaro da Imperatriz,7
421580 São Bento do Sul,11
421605 São Cristovão do Sul,4
421610 São Domingos,1
421620 São Francisco do Sul,15
421630 São João Batista,8
421640 São João do Sul,1
421650 São Joaquim,7
421660 São José,138
421680 São José do Cerrito,2
421690 São Lourenço do Oeste,4
421720 São Miguel do Oeste,2
421740 Schroeder,1
421750 Seara,2
421760 Siderópolis,5
421770 Sombrio,9
421780 Taió,1
421800 Tijucas,13
421820 Timbó,9
421860 Trombudo Central,1
421870 Tubarão,38
421880 Turvo,1
421890 Urubici,2
421900 Urussanga,3
421910 Vargeão,1
421915 Vargem,1
421920 Vidal Ramos,2
421930 Videira,4
421950 Xanxerê,9
421960 Xavantina,1
421970 Xaxim,4
430003 Aceguá,1
430030 Alecrim,3
430040 Alegrete,23
430050 Alpestre,1
430060 Alvorada,111
430063 Amaral Ferrador,1
430064 Ametista do Sul,1
430070 Anta Gorda,1
430087 Araricá,2
430100 Arroio do Meio,4
430105 Arroio do Sal,1
430120 Arroio do Tigre,2
430110 Arroio dos Ratos,9
430130 Arroio Grande,4
430140 Arvorezinha,1
430150 Augusto Pestana,1
430155 Áurea,1
430160 Bagé,35
430190 Barra do Ribeiro,2
430210 Bento Gonçalves,22
430220 Boa Vista do Buricá,3
430230 Bom Jesus,3
430240 Bom Retiro do Sul,2
430245 Boqueirão do Leão,1
430250 Bossoroca,2
430258 Bozano,1
430270 Butiá,8
430280 Caçapava do Sul,9
430290 Cacequi,2
430300 Cachoeira do Sul,22
430310 Cachoeirinha,44
430340 Caiçara,1
430350 Camaquã,18
430380 Campinas do Sul,2
430390 Campo Bom,14
430400 Campo Novo,2
430420 Candelária,4
430440 Canela,11
430450 Canguçu,5
430460 Canoas,165
430463 Capão da Canoa,28
430465 Capão do Cipó,1
430466 Capão do Leão,7
430468 Capela de Santana,1
430469 Capitão,1
430467 Capivari do Sul,3
430471 Caraá,2
430470 Carazinho,14
430480 Carlos Barbosa,5
430490 Casca,2
430495 Caseiros,1
430510 Caxias do Sul,96
430512 Cerrito,1
430520 Cerro Largo,1
430530 Chapada,2
430535 Charqueadas,35
430540 Chiapetta,1
430545 Cidreira,6
430570 Condor,1
430580 Constantina,2
430590 Coronel Bicaco,1
430595 Cotiporã,1
430600 Crissiumal,1
430610 Cruz Alta,30
430620 Cruzeiro do Sul,1
430637 Dilermando de Aguiar,1
430640 Dois Irmãos,3
430650 Dom Feliciano,4
430660 Dom Pedrito,16
430670 Dona Francisca,1
430676 Eldorado do Sul,11
430690 Encruzilhada do Sul,4
430700 Erechim,10
430730 Erval Seco,1
430745 Esperança do Sul,1
430750 Espumoso,7
430755 Estação,2
430760 Estância Velha,10
430770 Esteio,28
430780 Estrela,4
430790 Farroupilha,10
430805 Faxinalzinho,1
430820 Flores da Cunha,1
430840 Formigueiro,2
430845 Fortaleza dos Valos,3
430850 Frederico Westphalen,1
430860 Garibaldi,3
430880 General Câmara,1
430900 Giruá,4
430905 Glorinha,3
430910 Gramado,15
430920 Gravataí,111
430930 Guaíba,35
430940 Guaporé,4
430950 Guarani das Missões,1
430710 Herval,1
430960 Horizontina,3
430990 Ibiraiaras,2
431000 Ibirubá,5
431010 Igrejinha,9
431020 Ijuí,7
431030 Ilópolis,1
431033 Imbé,9
431040 Independência,1
431043 Ipê,2
431053 Itaara,1
431060 Itaqui,10
431065 Itati,1
431080 Ivoti,8
431085 Jaboticaba,1
431100 Jaguarão,11
431120 Júlio de Castilhos,2
431130 Lagoa Vermelha,7
431125 Lagoão,2
431140 Lajeado,28
431150 Lavras do Sul,1
431170 Machadinho,1
431175 Manoel Viana,3
431180 Marau,5
431198 Mariana Pimentel,1
431205 Marques de Souza,1
431225 Minas do Leão,1
431230 Miraguaí,1
431240 Montenegro,35
431247 Morro Reuter,1
431250 Mostardas,1
431261 Muitos Capões,1
431265 Não-Me-Toque,2
431280 Nova Araçá,1
431290 Nova Bassano,1
431300 Nova Bréscia,1
431306 Nova Hartz,1
431310 Nova Palma,1
431320 Nova Petrópolis,2
431330 Nova Prata,4
431337 Nova Santa Rita,11
431339 Novo Cabrais,1
431340 Novo Hamburgo,103
431350 Osório,24
431365 Palmares do Sul,5
431370 Palmeira das Missões,12
431390 Panambi,5
431395 Pantano Grande,3
431400 Paraí,1
431402 Paraíso do Sul,1
431403 Pareci Novo,2
431405 Parobé,11
431407 Passo do Sobrado,1
431410 Passo Fundo,43
431415 Paverama,1
431420 Pedro Osório,3
431440 Pelotas,132
431445 Pinhal,2
431447 Pinhal Grande,2
431450 Pinheiro Machado,3
431460 Piratini,2
431470 Planalto,1
431475 Poço das Antas,2
431480 Portão,11
431490 Porto Alegre,976
431510 Porto Xavier,3
431530 Quaraí,3
431531 Quatro Irmãos,1
431532 Quevedos,1
431540 Redentora,1
431550 Restinga Seca,5
431560 Rio Grande,120
431570 Rio Pardo,9
431580 Roca Sales,3
431590 Rodeio Bonito,1
431600 Rolante,3
431620 Rondinha,1
431630 Roque Gonzales,1
431640 Rosário do Sul,8
431642 Sagrada Família,1
431643 Saldanha Marinho,1
431645 Salto do Jacuí,1
431650 Salvador do Sul,3
431660 Sananduva,1
431670 Santa Bárbara do Sul,1
431673 Santa Cecília do Sul,1
431680 Santa Cruz do Sul,34
431697 Santa Margarida do Sul,1
431690 Santa Maria,96
431720 Santa Rosa,8
431730 Santa Vitória do Palmar,15
431700 Santana da Boa Vista,1
431710 Santana do Livramento,16
431740 Santiago,14
431750 Santo Ângelo,16
431760 Santo Antônio da Patrulha,8
431780 Santo Augusto,1
431790 Santo Cristo,2
431800 São Borja,18
431810 São Francisco de Assis,1
431820 São Francisco de Paula,4
431830 São Gabriel,10
431840 São Jerônimo,7
431850 São José do Norte,8
431862 São José dos Ausentes,1
431870 São Leopoldo,81
431880 São Lourenço do Sul,4
431890 São Luiz Gonzaga,9
431900 São Marcos,4
431910 São Martinho,1
431912 São Martinho da Serra,1
431920 São Nicolau,1
431930 São Paulo das Missões,1
431940 São Pedro do Sul,2
431950 São Sebastião do Caí,8
431960 São Sepé,1
431973 São Valério do Sul,1
431990 Sapiranga,24
432000 Sapucaia do Sul,59
432010 Sarandi,1
432020 Seberi,2
432035 Sentinela do Sul,3
432040 Serafina Corrêa,2
432050 Sertão,1
432070 Sobradinho,1
432080 Soledade,5
432090 Tapejara,2
432100 Tapera,1
432110 Tapes,5
432120 Taquara,17
432130 Taquari,4
432140 Tenente Portela,1
432145 Teutônia,3
432150 Torres,11
432160 Tramandaí,32
432166 Três Cachoeiras,2
432170 Três Coroas,6
432180 Três de Maio,9
432183 Três Forquilhas,1
432185 Três Palmeiras,1
432190 Três Passos,1
432195 Trindade do Sul,1
432200 Triunfo,6
432210 Tucunduva,1
432218 Tupanci do Sul,1
432220 Tupanciretã,3
432240 Uruguaiana,51
432250 Vacaria,8
432253 Vale do Sol,1
432260 Venâncio Aires,14
432270 Vera Cruz,10
432280 Veranópolis,5
432300 Viamão,117
432340 Vila Maria,1
432360 Vista Alegre do Prata,1
432370 Vista Gaúcha,1
432380 Xangri-lá,4
500020 Água Clara,3
500025 Alcinópolis,2
500060 Amambaí,13
500090 Antônio João,1
500100 Aparecida do Taboado,2
500110 Aquidauana,10
500150 Bandeirantes,1
500190 Bataguassu,1
500200 Batayporã,1
500210 Bela Vista,1
500230 Brasilândia,1
500240 Caarapó,6
500260 Camapuã,2
500270 Campo Grande,204
500280 Caracol,1
500290 Cassilândia,9
500295 Chapadão do Sul,6
500315 Coronel Sapucaia,3
500320 Corumbá,15
500325 Costa Rica,3
500330 Coxim,7
500345 Deodápolis,2
500348 Dois Irmãos do Buriti,1
500370 Dourados,59
500375 Eldorado,7
500400 Glória de Dourados,1
500430 Iguatemi,3
500450 Itaporã,2
500470 Ivinhema,4
500480 Japorã,6
500500 Jardim,1
500515 Juti,1
500520 Ladário,4
500525 Laguna Carapã,2
500540 Maracaju,11
500560 Miranda,4
500568 Mundo Novo,2
500570 Naviraí,14
500580 Nioaque,1
500600 Nova Alvorada do Sul,3
500620 Nova Andradina,8
500630 Paranaíba,12
500660 Ponta Porã,13
500710 Ribas do Rio Pardo,4
500720 Rio Brilhante,7
500730 Rio Negro,2
500740 Rio Verde de Mato Grosso,14
500769 São Gabriel do Oeste,8
500770 Sete Quedas,2
500790 Sidrolândia,11
500793 Sonora,5
500795 Tacuru,1
500800 Terenos,3
500830 Três Lagoas,20
500840 Vicentina,2
510020 Água Boa,4
510025 Alta Floresta,3
510030 Alto Araguaia,2
510040 Alto Garças,3
510130 Arenápolis,1
510160 Barão de Melgaço,1
510170 Barra do Bugres,5
510180 Barra do Garças,15
510250 Cáceres,14
510263 Campo Novo do Parecis,3
510267 Campo Verde,12
510268 Campos de Júlio,1
510270 Canarana,2
510300 Chapada dos Guimarães,2
510305 Cláudia,1
510310 Cocalinho,1
510320 Colíder,3
510330 Comodoro,3
510335 Confresa,4
510340 Cuiabá,174
510345 Denise,2
510350 Diamantino,8
510360 Dom Aquino,1
510370 Feliz Natal,1
510390 General Carneiro,1
510410 Guarantã do Norte,10
510420 Guiratinga,3
510454 Itanhangá,1
510455 Itaúba,1
510460 Itiquira,2
510480 Jaciara,10
510510 Juara,5
510515 Juína,9
510517 Juruena,1
510520 Juscimeira,2
510523 Lambari D'Oeste,1
510525 Lucas do Rio Verde,10
510558 Marcelândia,5
510560 Matupá,2
510562 Mirassol d'Oeste,2
510590 Nobres,7
510621 Nova Canaã do Norte,1
510880 Nova Guarita,2
510885 Nova Marilândia,1
510622 Nova Mutum,8
510623 Nova Olímpia,2
510619 Nova Santa Helena,1
510624 Nova Ubiratã,1
510625 Nova Xavantina,3
510629 Paranaíta,2
510630 Paranatinga,10
510637 Pedra Preta,1
510642 Peixoto de Azevedo,13
510650 Poconé,9
510665 Pontal do Araguaia,1
510675 Pontes e Lacerda,2
510700 Poxoréo,4
510704 Primavera do Leste,16
510760 Rondonópolis,120
510770 Rosário Oeste,4
510774 Santa Cruz do Xingu,1
510780 Santo Antônio do Leverger,7
510785 São Félix do Araguaia,2
510730 São José do Rio Claro,4
510787 Sapezal,2
510790 Sinop,24
510792 Sorriso,20
510794 Tabaporã,1
510795 Tangará da Serra,11
510805 Terra Nova do Norte,1
510810 Tesouro,1
510840 Várzea Grande,59
510850 Vera,1
510550 Vila Bela da Santíssima Trindade,1
510860 Vila Rica,2
520005 Abadia de Goiás,3
520010 Abadiânia,1
520013 Acreúna,3
520025 Águas Lindas de Goiás,10
520030 Alexânia,4
520060 Alto Paraíso de Goiás,1
520080 Alvorada do Norte,1
520110 Anápolis,56
520130 Anicuns,3
520140 Aparecida de Goiânia,107
520150 Aporé,1
520170 Aragarças,2
520180 Aragoiânia,1
520235 Arenópolis,1
520280 Avelinópolis,2
520330 Bela Vista de Goiás,3
520340 Bom Jardim de Goiás,1
520350 Bom Jesus de Goiás,1
520355 Bonfinópolis,1
520390 Buriti Alegre,2
520410 Cachoeira Alta,1
520425 Cachoeira Dourada,1
520450 Caldas Novas,21
520455 Caldazinha,1
520470 Campinorte,2
520485 Campo Limpo de Goiás,1
520490 Campos Belos,4
520500 Carmo do Rio Verde,1
520510 Catalão,10
520545 Cezarina,1
520547 Chapadão do Céu,1
520549 Cidade Ocidental,4
520551 Cocalzinho de Goiás,1
520552 Colinas do Sul,1
520580 Corumbá de Goiás,1
520590 Corumbaíba,1
520620 Cristalina,7
520640 Crixás,1
520740 Edéia,1
520753 Faina,1
520800 Formosa,9
520840 Goianápolis,1
520860 Goianésia,4
520870 Goiânia,320
520880 Goianira,11
520890 Goiás,1
520910 Goiatuba,8
520920 Guapó,3
520960 Heitoraí,1
520970 Hidrolândia,4
520995 Indiara,3
521000 Inhumas,7
521010 Ipameri,5
521015 Ipiranga de Goiás,1
521030 Israelândia,1
521040 Itaberaí,6
521056 Itaguari,1
521080 Itajá,1
521120 Itapuranga,1
521150 Itumbiara,28
521170 Jandaia,1
521180 Jaraguá,5
521190 Jataí,25
521210 Joviânia,2
521220 Jussara,2
521230 Leopoldo de Bulhões,1
521250 Luziânia,15
521270 Mambaí,1
521280 Mara Rosa,2
521310 Mineiros,8
521380 Morrinhos,9
521400 Mozarlândia,3
521440 Nazário,3
521450 Nerópolis,5
521520 Novo Brasil,1
521523 Novo Gama,9
521525 Novo Planalto,1
521550 Ouvidor,2
521560 Padre Bernardo,5
521570 Palmeiras de Goiás,3
521590 Palminópolis,1
521600 Panamá,1
521640 Paraúna,1
521645 Perolândia,2
521710 Piracanjuba,3
521720 Piranhas,3
521730 Pirenópolis,3
521740 Pires do Rio,1
521760 Planaltina,6
521770 Pontalina,2
521800 Porangatu,4
521810 Portelândia,1
521830 Posse,1
521839 Professor Jamil,1
521850 Quirinópolis,4
521860 Rialma,2
521870 Rianápolis,1
521880 Rio Verde,28
521890 Rubiataba,3
521930 Santa Helena de Goiás,3
521940 Santa Rita do Araguaia,2
521975 Santo Antônio do Descoberto,5
522010 São Luís de Montes Belos,3
522020 São Miguel do Araguaia,1
522040 São Simão,3
522045 Senador Canedo,18
522060 Silvânia,3
522108 Teresina de Goiás,1
522119 Terezópolis de Goiás,3
522140 Trindade,19
522150 Turvânia,2
522160 Uruaçu,7
522185 Valparaíso de Goiás,27
522190 Varjão,3
522200 Vianópolis,1
522220 Vila Boa,1
530010 Brasília,458
