Município,Casos de Tuberculose
330410 Porciúncula,6
330411 Porto Real,7
330412 Quatis,3
330414 Queimados,105
330415 Quissamã,7
330420 Resende,34
330430 Rio Bonito,23
330440 Rio Claro,3
330450 Rio das Flores,3
330452 Rio das Ostras,70
330455 Rio de Janeiro,7836
330460 Santa Maria Madalena,2
330470 Santo Antônio de Pádua,9
330480 São Fidélis,5
330490 São Gonçalo,534
330500 São João da Barra,4
330510 São João de Meriti,341
330515 São José do Vale do Rio Preto,8
330520 São Pedro da Aldeia,24
330530 São Sebastião do Alto,1
330540 Sapucaia,5
330550 Saquarema,47
330555 Seropédica,28
330560 Silva Jardim,9
330570 Sumidouro,6
330575 Tanguá,4
330580 Teresópolis,54
330590 Trajano de Moraes,1
330600 Três Rios,33
330610 Valença,13
330620 Vassouras,9
330630 Volta Redonda,156
350010 Adamantina,3
350020 Adolfo,1
350030 Aguaí,9
350050 Águas de Lindóia,3
350055 Águas de Santa Bárbara,1
350070 Agudos,4
350090 Altair,1
350100 Altinópolis,1
350115 Alumínio,3
350130 Álvares Machado,2
350140 Álvaro de Carvalho,21
350160 Americana,40
350170 Américo Brasiliense,11
350190 Amparo,8
350210 Andradina,29
350220 Angatuba,3
350250 Aparecida,18
350270 Apiaí,1
350275 Araçariguama,5
350280 Araçatuba,27
350290 Araçoiaba da Serra,7
350320 Araraquara,42
350330 Araras,40
350380 Artur Nogueira,4
350390 Arujá,28
350395 Aspásia,1
350400 Assis,38
350410 Atibaia,43
350420 Auriflama,2
350440 Avanhandava,13
350450 Avaré,22
350460 Bady Bassitt,4
350470 Balbinos,55
350490 Bananal,9
350520 Bariri,3
350540 Barra do Turvo,1
350550 Barretos,36
350560 Barrinha,4
350570 Barueri,123
350580 Bastos,4
350590 Batatais,3
350600 Bauru,253
350610 Bebedouro,26
350620 Bento de Abreu,1
350630 Bernardino de Campos,20
350635 Bertioga,35
350640 Bilac,1
350650 Birigui,16
350660 Biritiba-Mirim,15
350670 Boa Esperança do Sul,2
350680 Bocaina,1
350690 Bofete,1
350700 Boituva,10
350710 Bom Jesus dos Perdões,2
350740 Borborema,2
350750 Botucatu,59
350760 Bragança Paulista,58
350775 Brejo Alegre,2
350780 Brodowski,3
350790 Brotas,4
350800 Buri,3
350810 Buritama,5
350840 Cabreúva,11
350850 Caçapava,22
350860 Cachoeira Paulista,6
350870 Caconde,3
350880 Cafelândia,1
350890 Caiabu,1
350900 Caieiras,32
350910 Caiuá,9
350920 Cajamar,22
350925 Cajati,16
350950 Campinas,467
350960 Campo Limpo Paulista,15
350970 Campos do Jordão,8
350980 Campos Novos Paulista,1
350990 Cananéia,4
351000 Cândido Mota,1
351015 Canitar,1
351020 Capão Bonito,17
351030 Capela do Alto,35
351040 Capivari,26
351050 Caraguatatuba,99
351060 Carapicuíba,187
351080 Casa Branca,21
351100 Castilho,4
351110 Catanduva,21
351130 Cedral,1
351140 Cerqueira César,37
351150 Cerquilho,5
351160 Cesário Lange,4
351170 Charqueada,2
355720 Chavantes,2
351200 Colina,3
351220 Conchal,2
351230 Conchas,2
351240 Cordeirópolis,6
351270 Corumbataí,1
351280 Cosmópolis,14
351290 Cosmorama,1
351300 Cotia,76
351310 Cravinhos,3
351340 Cruzeiro,37
351350 Cubatão,118
351370 Descalvado,7
351380 Diadema,175
351390 Divinolândia,2
351410 Dois Córregos,1
351430 Dourado,1
351440 Dracena,34
351450 Duartina,6
351480 Eldorado,4
351490 Elias Fausto,2
351500 Embu das Artes,97
351510 Embu-Guaçu,22
351515 Engenheiro Coelho,1
351518 Espírito Santo do Pinhal,10
351519 Espírito Santo do Turvo,1
351535 Euclides da Cunha Paulista,1
351540 Fartura,2
351550 Fernandópolis,13
351570 Ferraz de Vasconcelos,66
351600 Flórida Paulista,45
351610 Florínia,2
351620 Franca,51
351630 Francisco Morato,40
351640 Franco da Rocha,168
351660 Gália,1
351670 Garça,10
351685 Gavião Peixoto,1
351700 Getulina,33
351720 Guaiçara,2
351740 Guaíra,3
351760 Guapiara,3
351770 Guará,1
351780 Guaraçaí,1
351790 Guaraci,1
351820 Guararapes,6
351830 Guararema,3
351840 Guaratinguetá,35
351850 Guareí,45
351860 Guariba,1
351870 Guarujá,456
351880 Guarulhos,577
351890 Guzolândia,1
351900 Herculândia,2
351905 Holambra,1
351907 Hortolândia,125
351920 Iacri,1
351925 Iaras,8
351930 Ibaté,2
351950 Ibirarema,1
351960 Ibitinga,22
351970 Ibiúna,11
351990 Iepê,4
352000 Igaraçu do Tietê,7
352010 Igarapava,3
352020 Igaratá,1
352030 Iguape,14
352042 Ilha Comprida,4
352044 Ilha Solteira,2
352040 Ilhabela,6
352050 Indaiatuba,30
352060 Indiana,1
352070 Indiaporã,1
352080 Inúbia Paulista,2
352090 Ipaussu,1
352100 Iperó,47
352130 Ipuã,2
352140 Iracemápolis,2
352150 Irapuã,1
352160 Irapuru,26
352180 Itaí,3
352200 Itaju,1
352210 Itanhaém,97
352220 Itapecerica da Serra,93
352230 Itapetininga,82
352240 Itapeva,30
352250 Itapevi,103
352260 Itapira,25
352270 Itápolis,7
352280 Itaporanga,3
352290 Itapuí,1
352300 Itapura,2
352310 Itaquaquecetuba,126
352320 Itararé,9
352330 Itariri,9
352340 Itatiba,29
352350 Itatinga,1
352360 Itirapina,34
352380 Itobi,3
352390 Itu,42
352400 Itupeva,7
352410 Ituverava,10
352430 Jaboticabal,2
352440 Jacareí,71
352450 Jaci,2
352460 Jacupiranga,4
352470 Jaguariúna,9
352480 Jales,7
352500 Jandira,36
352510 Jardinópolis,28
352520 Jarinu,13
352530 Jaú,31
352570 José Bonifácio,3
352585 Jumirim,1
352590 Jundiaí,130
352600 Junqueirópolis,56
352610 Juquiá,7
352620 Juquitiba,5
352640 Laranjal Paulista,6
352650 Lavínia,89
352670 Leme,24
352680 Lençóis Paulista,19
352690 Limeira,83
352700 Lindóia,1
352710 Lins,23
352720 Lorena,37
352730 Louveira,9
352740 Lucélia,64
352750 Lucianópolis,1
352760 Luís Antônio,1
352790 Lutécia,1
352800 Macatuba,1
352810 Macaubal,1
352820 Macedônia,1
352830 Magda,2
352840 Mairinque,13
352850 Mairiporã,8
352860 Manduri,2
352870 Marabá Paulista,33
352880 Maracaí,1
352900 Marília,132
352920 Martinópolis,54
352930 Matão,5
352940 Mauá,170
352960 Meridiano,1
352965 Mesópolis,1
352970 Miguelópolis,2
352990 Miracatu,8
353010 Mirandópolis,86
353020 Mirante do Paranapanema,3
353030 Mirassol,7
353040 Mirassolândia,1
353050 Mococa,11
353060 Mogi das Cruzes,188
353070 Mogi Guaçu,37
353080 Mogi Mirim,15
353090 Mombuca,4
353110 Mongaguá,78
353120 Monte Alegre do Sul,1
353130 Monte Alto,8
353140 Monte Aprazível,3
353150 Monte Azul Paulista,2
353180 Monte Mor,16
353190 Morro Agudo,3
353200 Morungaba,1
353220 Narandiba,1
353230 Natividade da Serra,1
353240 Nazaré Paulista,2
353250 Neves Paulista,1
353260 Nhandeara,4
353282 Nova Campina,1
353300 Nova Granada,2
353340 Nova Odessa,9
353350 Novo Horizonte,1
353380 Óleo,1
353390 Olímpia,12
353410 Oriente,1
353430 Orlândia,4
353440 Osasco,301
353450 Oscar Bressane,1
353460 Osvaldo Cruz,36
353470 Ourinhos,37
353480 Ouro Verde,2
353475 Ouroeste,1
353490 Pacaembu,67
353500 Palestina,1
353530 Palmital,3
353540 Panorama,8
353550 Paraguaçu Paulista,28
353560 Paraibuna,4
353580 Paranapanema,3
353590 Paranapuã,1
353600 Parapuã,1
353620 Pariquera-Açu,20
353625 Parisi,1
353640 Paulicéia,4
353650 Paulínia,31
353660 Paulo de Faria,2
353670 Pederneiras,7
353710 Pedreira,5
353720 Pedro de Toledo,4
353730 Penápolis,16
353740 Pereira Barreto,6
353750 Pereiras,2
353760 Peruíbe,73
353780 Piedade,8
353790 Pilar do Sul,13
353800 Pindamonhangaba,33
353810 Pindorama,1
353820 Pinhalzinho,1
353850 Piquete,3
353860 Piracaia,4
353870 Piracicaba,218
353880 Piraju,6
353890 Pirajuí,65
353910 Pirapora do Bom Jesus,11
353920 Pirapozinho,3
353930 Pirassununga,21
353940 Piratininga,4
353950 Pitangueiras,7
353960 Planalto,2
353980 Poá,28
353990 Poloni,2
354000 Pompéia,5
354020 Pontal,7
354025 Pontalinda,1
354050 Porangaba,2
354060 Porto Feliz,52
354070 Porto Ferreira,9
354075 Potim,70
354080 Potirendaba,1
354085 Pracinha,34
354100 Praia Grande,292
354105 Pratânia,2
354120 Presidente Bernardes,49
354130 Presidente Epitácio,9
354140 Presidente Prudente,114
354150 Presidente Venceslau,18
354160 Promissão,5
354170 Quatá,2
354180 Queiroz,1
354190 Queluz,3
354200 Quintana,1
354220 Rancharia,8
354240 Regente Feijó,3
354250 Reginópolis,18
354260 Registro,29
354300 Ribeirão Branco,1
354330 Ribeirão Pires,20
354340 Ribeirão Preto,292
354370 Rincão,1
354380 Rinópolis,1
354390 Rio Claro,35
354400 Rio das Pedras,9
354410 Rio Grande da Serra,10
354420 Riolândia,31
354425 Rosana,3
354430 Roseira,2
354440 Rubiácea,1
354510 Salmourão,1
354520 Salto,18
354530 Salto de Pirapora,19
354540 Salto Grande,6
354570 Santa Albertina,1
354580 Santa Bárbara d'Oeste,26
354630 Santa Cruz das Palmeiras,7
354640 Santa Cruz do Rio Pardo,9
354660 Santa Fé do Sul,6
354670 Santa Gertrudes,4
354680 Santa Isabel,23
354700 Santa Maria da Serra,2
354750 Santa Rita do Passa Quatro,1
354730 Santana de Parnaíba,47
354770 Santo Anastácio,9
354780 Santo André,267
354800 Santo Antônio de Posse,2
354840 Santópolis do Aguapeí,1
354850 Santos,412
354860 São Bento do Sapucaí,2
354870 São Bernardo do Campo,255
354880 São Caetano do Sul,17
354890 São Carlos,68
354900 São Francisco,1
354910 São João da Boa Vista,10
354920 São João das Duas Pontes,1
354940 São Joaquim da Barra,8
354970 São José do Rio Pardo,5
354980 São José do Rio Preto,215
354990 São José dos Campos,180
354995 São Lourenço da Serra,7
355000 São Luís do Paraitinga,1
355010 São Manuel,9
355020 São Miguel Arcanjo,10
355030 São Paulo,7384
355040 São Pedro,2
355050 São Pedro do Turvo,1
355060 São Roque,16
355070 São Sebastião,49
355080 São Sebastião da Grama,5
355090 São Simão,2
355100 São Vicente,547
355120 Sarutaiá,1
355140 Serra Azul,51
355160 Serra Negra,3
355150 Serrana,3
355170 Sertãozinho,40
355180 Sete Barras,4
355190 Severínia,5
355210 Socorro,6
355220 Sorocaba,221
355230 Sud Mennucci,2
355240 Sumaré,53
355250 Suzano,104
355270 Tabatinga,3
355280 Taboão da Serra,97
355300 Taguaí,3
355320 Taiúva,2
355330 Tambaú,5
355340 Tanabi,3
355350 Tapiraí,1
355360 Tapiratiba,1
355370 Taquaritinga,5
355380 Taquarituba,20
355390 Tarabai,2
355395 Tarumã,6
355400 Tatuí,24
355410 Taubaté,130
355430 Teodoro Sampaio,1
355440 Terra Roxa,1
355450 Tietê,6
355465 Torre de Pedra,2
355470 Torrinha,1
355480 Tremembé,98
355490 Três Fronteiras,1
355495 Tuiuti,1
355500 Tupã,23
355510 Tupi Paulista,40
355535 Ubarana,2
355540 Ubatuba,28
355560 Uchoa,3
355580 Urânia,5
355590 Uru,1
355620 Valinhos,10
355630 Valparaíso,52
355640 Vargem Grande do Sul,5
355645 Vargem Grande Paulista,13
355650 Várzea Paulista,23
355660 Vera Cruz,4
355670 Vinhedo,11
355680 Viradouro,1
355695 Vitória Brasil,1
355700 Votorantim,39
355710 Votuporanga,23
410010 Abatiá,2
410020 Adrianópolis,1
410030 Agudos do Sul,1
410040 Almirante Tamandaré,13
410060 Alto Paraná,2
410050 Altônia,7
410090 Amaporã,2
410100 Ampére,2
410110 Andirá,2
410120 Antonina,11
410140 Apucarana,20
410150 Arapongas,41
410160 Arapoti,2
410180 Araucária,25
410190 Assaí,1
410200 Assis Chateaubriand,2
410210 Astorga,4
410230 Balsa Nova,2
410240 Bandeirantes,4
410260 Barracão,1
410280 Bela Vista do Paraíso,2
410290 Bituruna,1
410305 Boa Vista da Aparecida,2
410310 Bocaiúva do Sul,4
410315 Bom Jesus do Sul,1
410330 Borrazópolis,1
410345 Cafelândia,3
410360 Cambará,8
410370 Cambé,25
410400 Campina Grande do Sul,26
410405 Campo Bonito,2
410410 Campo do Tenente,1
410420 Campo Largo,40
410425 Campo Magro,5
410430 Campo Mourão,25
410442 Candói,2
410450 Capanema,2
410465 Carambeí,3
410470 Carlópolis,9
410480 Cascavel,58
410490 Castro,13
410500 Catanduvas,1
410510 Centenário do Sul,2
410530 Céu Azul,1
410540 Chopinzinho,1
410550 Cianorte,12
410560 Cidade Gaúcha,3
410580 Colombo,48
410590 Colorado,6
410610 Conselheiro Mairinck,4
410620 Contenda,2
410640 Cornélio Procópio,6
410650 Coronel Vivida,3
410655 Corumbataí do Sul,1
410680 Cruz Machado,1
410660 Cruzeiro do Oeste,6
410670 Cruzeiro do Sul,3
410690 Curitiba,470
410700 Curiúva,5
410710 Diamante do Norte,1
410720 Dois Vizinhos,1
410725 Douradina,1
410730 Doutor Camargo,1
410750 Engenheiro Beltrão,2
410755 Farol,2
410760 Faxinal,7
410765 Fazenda Rio Grande,24
410770 Fênix,2
410773 Fernandes Pinheiro,1
410775 Figueira,2
410800 Florestópolis,4
410810 Flórida,1
410820 Formosa do Oeste,1
410830 Foz do Iguaçu,106
410840 Francisco Beltrão,13
410850 General Carneiro,2
410860 Goioerê,6
410880 Guaíra,12
410890 Guairaçá,2
410900 Guapirama,2
410920 Guaraci,1
410940 Guarapuava,50
410950 Guaraqueçaba,3
410960 Guaratuba,16
410965 Honório Serpa,2
410970 Ibaiti,8
410975 Ibema,1
410980 Ibiporã,30
411005 Iguatu,4
411007 Imbaú,2
411010 Imbituva,1
411030 Inajá,1
411050 Ipiranga,3
411060 Iporã,1
411070 Irati,4
411080 Iretama,1
411090 Itaguajé,2
411095 Itaipulândia,1
411100 Itambaracá,1
411120 Itapejara d'Oeste,2
411150 Ivaiporã,7
411155 Ivaté,1
411180 Jacarezinho,20
411190 Jaguapitã,1
411200 Jaguariaíva,6
411210 Jandaia do Sul,2
411230 Japira,1
411240 Japurá,1
411270 Jataizinho,3
411280 Joaquim Távora,2
411295 Juranda,2
411300 Jussara,2
411320 Lapa,20
411325 Laranjal,1
411330 Laranjeiras do Sul,5
411350 Loanda,2
411360 Lobato,1
411370 Londrina,183
411375 Lunardelli,1
411380 Lupionópolis,1
411400 Mamborê,3
411410 Mandaguaçu,4
411420 Mandaguari,1
411450 Manoel Ribas,2
411460 Marechal Cândido Rondon,11
411480 Marialva,9
411500 Marilena,1
411510 Mariluz,1
411520 Maringá,77
411535 Maripá,2
411540 Marmeleiro,1
411560 Matelândia,3
411570 Matinhos,10
411575 Mauá da Serra,4
411580 Medianeira,10
411585 Mercedes,1
411590 Mirador,1
411610 Moreira Sales,3
411620 Morretes,8
411680 Nova Cantu,2
411690 Nova Esperança,4
411700 Nova Fátima,2
411705 Nova Laranjeiras,3
411710 Nova Londrina,4
411725 Nova Prata do Iguaçu,3
411722 Nova Santa Rosa,1
411727 Nova Tebas,1
411730 Ortigueira,1
411745 Ouro Verde do Oeste,1
411750 Paiçandu,6
411760 Palmas,16
411770 Palmeira,4
411780 Palmital,1
411790 Palotina,6
411800 Paraíso do Norte,1
411810 Paranacity,1
411820 Paranaguá,111
411840 Paranavaí,27
411845 Pato Bragado,1
411850 Pato Branco,8
411870 Paulo Frontin,1
411880 Peabiru,1
411885 Perobal,1
411915 Pinhais,97
411930 Pinhão,1
411940 Piraí do Sul,3
411950 Piraquara,23
411960 Pitanga,3
411990 Ponta Grossa,82
411995 Pontal do Paraná,7
412000 Porecatu,2
412015 Porto Barreiro,2
412020 Porto Rico,2
412030 Porto Vitória,1
412040 Presidente Castelo Branco,2
412050 Primeiro de Maio,1
412060 Prudentópolis,4
412070 Quatiguá,1
412080 Quatro Barras,3
412085 Quatro Pontes,1
412090 Quedas do Iguaçu,5
412100 Querência do Norte,4
412110 Quinta do Sol,3
412120 Quitandinha,1
412135 Rancho Alegre D'Oeste,1
412140 Realeza,1
412170 Reserva,6
412180 Ribeirão Claro,5
412190 Ribeirão do Pinhal,2
412200 Rio Azul,3
412215 Rio Bonito do Iguaçu,1
412220 Rio Branco do Sul,4
412230 Rio Negro,5
412240 Rolândia,4
412265 Rosário do Ivaí,2
412270 Sabáudia,1
412290 Salto do Itararé,3
412310 Santa Amélia,1
412330 Santa Cruz de Monte Castelo,1
412350 Santa Helena,4
412370 Santa Isabel do Ivaí,2
412390 Santa Mariana,3
412405 Santa Terezinha de Itaipu,7
412400 Santana do Itararé,3
412410 Santo Antônio da Platina,12
412430 Santo Antônio do Paraíso,3
412440 Santo Antônio do Sudoeste,1
412450 Santo Inácio,3
412460 São Carlos do Ivaí,3
412470 São Jerônimo da Serra,3
412480 São João,3
412490 São João do Caiuá,2
412500 São João do Ivaí,4
412520 São Jorge d'Oeste,2
412530 São Jorge do Ivaí,1
412545 São José das Palmeiras,1
412550 São José dos Pinhais,53
412560 São Mateus do Sul,1
412570 São Miguel do Iguaçu,2
412575 São Pedro do Iguaçu,1
412580 São Pedro do Ivaí,1
412600 São Sebastião da Amoreira,2
412620 Sapopema,1
412625 Sarandi,31
412650 Sertanópolis,3
412660 Siqueira Campos,5
412667 Tamarana,1
412680 Tapejara,2
412690 Tapira,1
412710 Telêmaco Borba,9
412720 Terra Boa,4
412730 Terra Rica,3
412750 Tibagi,1
412760 Tijucas do Sul,4
412770 Toledo,19
412780 Tomazina,1
412785 Três Barras do Paraná,2
412790 Tuneiras do Oeste,1
412795 Tupãssi,1
412796 Turvo,2
412800 Ubiratã,4
412810 Umuarama,30
412820 União da Vitória,13
412853 Ventania,1
412855 Vera Cruz do Oeste,2
412865 Virmond,1
412870 Vitorino,2
412850 Wenceslau Braz,5
420010 Abelardo Luz,2
420090 Angelina,1
420100 Anita Garibaldi,1
420130 Araquari,12
420140 Araranguá,32
420160 Arroio Trinta,2
420170 Ascurra,3
420195 Balneário Arroio do Silva,3
420205 Balneário Barra do Sul,4
420200 Balneário Camboriú,73
420207 Balneário Gaivota,5
421280 Balneário Piçarras,12
422000 Balneário Rincão,14
420210 Barra Velha,6
420220 Benedito Novo,11
420230 Biguaçu,22
420240 Blumenau,105
420250 Bom Jardim da Serra,1
420245 Bombinhas,11
420270 Botuverá,1
420280 Braço do Norte,8
420285 Braço do Trombudo,2
420287 Brunópolis,2
420290 Brusque,33
420300 Caçador,7
420310 Caibi,1
420315 Calmon,1
420320 Camboriú,41
420330 Campo Alegre,1
420360 Campos Novos,5
420380 Canoinhas,4
420390 Capinzal,1
420395 Capivari de Baixo,1
420400 Catanduvas,1
420410 Caxambu do Sul,1
420415 Celso Ramos,1
420420 Chapecó,34
420425 Cocal do Sul,6
420430 Concórdia,12
420435 Cordilheira Alta,1
420440 Coronel Freitas,2
420450 Corupá,1
420460 Criciúma,84
420475 Cunhataí,1
420480 Curitibanos,3
420500 Dionísio Cerqueira,2
420540 Florianópolis,403
420545 Forquilhinha,2
420550 Fraiburgo,6
420580 Garuva,4
420590 Gaspar,35
420610 Grão Pará,2
420630 Guabiruba,4
420640 Guaraciaba,1
420650 Guaramirim,3
420660 Guarujá do Sul,1
420670 Herval d'Oeste,10
420690 Ibirama,1
420700 Içara,13
420710 Ilhota,6
420720 Imaruí,1
420730 Imbituba,18
420750 Indaial,17
420765 Iporã do Oeste,1
420770 Ipumirim,1
420775 Iraceminha,1
420800 Itá,1
420820 Itajaí,193
420830 Itapema,11
420845 Itapoá,11
420850 Ituporanga,3
420880 Jaguaruna,5
420890 Jaraguá do Sul,27
420900 Joaçaba,8
420910 Joinville,241
420917 Jupiá,1
420930 Lages,33
420940 Laguna,20
420960 Lauro Muller,7
420970 Lebon Régis,1
420985 Lindóia do Sul,1
421000 Luiz Alves,1
421003 Luzerna,1
421010 Mafra,4
421030 Major Vieira,1
421050 Maravilha,4
421060 Massaranduba,1
421080 Meleiro,1
421100 Mondaí,2
421120 Morro da Fumaça,8
421130 Navegantes,49
421150 Nova Trento,5
421160 Nova Veneza,1
421170 Orleans,5
421175 Otacílio Costa,1
421180 Ouro,1
421190 Palhoça,42
421200 Palma Sola,1
421205 Palmeira,1
421210 Palmitos,1
421220 Papanduva,2
421225 Passo de Torres,2
421230 Paulo Lopes,2
421250 Penha,10
421270 Petrolândia,3
421290 Pinhalzinho,2
421320 Pomerode,3
421340 Ponte Serrada,1
421350 Porto Belo,10
421360 Porto União,21
421415 Princesa,1
421420 Quilombo,2
421480 Rio do Sul,21
421470 Rio dos Cedros,1
421490 Rio Fortuna,1
421500 Rio Negrinho,4
421507 Riqueza,1
421510 Rodeio,3
421545 Sangão,5
421550 Santa Cecília,1
421560 Santa Rosa de Lima,1
421565 Santa Rosa do Sul,1
421570 Santo Amaro da Imperatriz,2
421580 São Bento do Sul,12
421600 São Carlos,2
421605 São Cristovão do Sul,1
421620 São Francisco do Sul,22
421630 São João Batista,5
421635 São João do Itaperiú,1
421640 São João do Sul,3
421650 São Joaquim,4
421660 São José,111
421670 São José do Cedro,2
421680 São José do Cerrito,1
421690 São Lourenço do Oeste,1
421700 São Ludgero,3
421715 São Miguel da Boa Vista,1
421720 São Miguel do Oeste,8
421725 São Pedro de Alcântara,16
421730 Saudades,2
421740 Schroeder,3
421760 Siderópolis,4
421770 Sombrio,1
421795 Tigrinhos,1
421800 Tijucas,9
421810 Timbé do Sul,1
421820 Timbó,8
421830 Três Barras,8
421870 Tubarão,41
421875 Tunápolis,2
421880 Turvo,2
421885 União do Oeste,1
421890 Urubici,1
421900 Urussanga,5
421915 Vargem,1
421930 Videira,5
421950 Xanxerê,4
421970 Xaxim,3
430003 Aceguá,1
430010 Agudo,2
430020 Ajuricaba,2
430030 Alecrim,1
430040 Alegrete,16
430050 Alpestre,1
430060 Alvorada,159
430064 Ametista do Sul,1
430087 Araricá,5
430100 Arroio do Meio,4
430105 Arroio do Sal,2
430120 Arroio do Tigre,4
430110 Arroio dos Ratos,17
430130 Arroio Grande,1
430160 Bagé,34
430163 Balneário Pinhal,4
430170 Barão de Cotegipe,1
430190 Barra do Ribeiro,8
430200 Barros Cassal,1
430205 Benjamin Constant do Sul,1
430210 Bento Gonçalves,28
430223 Boa Vista do Incra,2
430230 Bom Jesus,1
430235 Bom Princípio,2
430240 Bom Retiro do Sul,2
430245 Boqueirão do Leão,1
430250 Bossoroca,1
430260 Braga,1
430270 Butiá,7
430280 Caçapava do Sul,9
430290 Cacequi,7
430300 Cachoeira do Sul,43
430310 Cachoeirinha,55
430320 Cacique Doble,4
430350 Camaquã,22
430355 Camargo,1
430360 Cambará do Sul,2
430370 Campina das Missões,2
430380 Campinas do Sul,1
430390 Campo Bom,14
430420 Candelária,7
430440 Canela,10
430450 Canguçu,4
430460 Canoas,260
430462 Capão Bonito do Sul,1
430463 Capão da Canoa,19
430466 Capão do Leão,5
430469 Capitão,1
430470 Carazinho,14
430480 Carlos Barbosa,2
430490 Casca,1
430500 Catuípe,1
430510 Caxias do Sul,190
430511 Centenário,2
430513 Cerro Branco,1
430530 Chapada,1
430535 Charqueadas,141
430544 Chuvisca,1
430545 Cidreira,12
430570 Condor,4
430580 Constantina,1
430597 Coxilha,1
430600 Crissiumal,1
430610 Cruz Alta,12
430620 Cruzeiro do Sul,5
430632 Derrubadas,1
430640 Dois Irmãos,3
430660 Dom Pedrito,8
430675 Doutor Ricardo,1
430676 Eldorado do Sul,19
430680 Encantado,9
430690 Encruzilhada do Sul,4
430692 Engenho Velho,1
430693 Entre-Ijuís,1
430700 Erechim,16
430730 Erval Seco,1
430750 Espumoso,2
430760 Estância Velha,12
430770 Esteio,56
430780 Estrela,11
430781 Estrela Velha,1
430790 Farroupilha,18
430800 Faxinal do Soturno,2
430807 Fazenda Vilanova,2
430810 Feliz,2
430820 Flores da Cunha,1
430840 Formigueiro,1
430845 Fortaleza dos Valos,2
430850 Frederico Westphalen,10
430860 Garibaldi,2
430870 Gaurama,3
430890 Getúlio Vargas,1
430900 Giruá,1
430905 Glorinha,2
430910 Gramado,4
430920 Gravataí,147
430930 Guaíba,39
430940 Guaporé,9
430950 Guarani das Missões,2
430957 Herveiras,1
430960 Horizontina,3
430975 Ibarama,5
431000 Ibirubá,3
431010 Igrejinha,8
431020 Ijuí,14
431030 Ilópolis,2
431040 Independência,1
431043 Ipê,1
431050 Iraí,4
431060 Itaqui,4
431080 Ivoti,8
431087 Jacuizinho,1
431100 Jaguarão,5
431112 Jaquirana,1
431120 Júlio de Castilhos,4
431130 Lagoa Vermelha,4
431125 Lagoão,1
431140 Lajeado,50
431142 Lajeado do Bugre,2
431160 Liberato Salzano,3
431162 Lindolfo Collor,2
431170 Machadinho,4
431173 Mampituba,1
431180 Marau,9
431198 Mariana Pimentel,5
431217 Mato Queimado,3
431225 Minas do Leão,1
431230 Miraguaí,1
431237 Monte Alegre dos Campos,2
431240 Montenegro,45
431250 Mostardas,4
431265 Não-Me-Toque,1
431270 Nonoai,2
431300 Nova Bréscia,1
431306 Nova Hartz,4
431320 Nova Petrópolis,2
431330 Nova Prata,2
431340 Novo Hamburgo,100
431344 Novo Tiradentes,2
431350 Osório,35
431360 Paim Filho,1
431365 Palmares do Sul,6
431370 Palmeira das Missões,7
431380 Palmitinho,3
431390 Panambi,10
431395 Pantano Grande,3
431402 Paraíso do Sul,2
431405 Parobé,14
431406 Passa Sete,1
431410 Passo Fundo,94
431415 Paverama,3
431440 Pelotas,272
431446 Pinhal da Serra,1
431449 Pinheirinho do Vale,2
431450 Pinheiro Machado,2
431460 Piratini,6
431470 Planalto,3
431480 Portão,9
431490 Porto Alegre,2305
431510 Porto Xavier,1
431514 Presidente Lucena,2
431515 Progresso,3
431530 Quaraí,2
431532 Quevedos,1
431550 Restinga Seca,2
431555 Rio dos Índios,1
431560 Rio Grande,233
431570 Rio Pardo,3
431575 Riozinho,1
431580 Roca Sales,1
431590 Rodeio Bonito,2
431600 Rolante,2
431630 Roque Gonzales,1
431640 Rosário do Sul,18
431645 Salto do Jacuí,1
431650 Salvador do Sul,1
431660 Sananduva,1
431710 Sant'Ana do Livramento,27
431680 Santa Cruz do Sul,60
431690 Santa Maria,102
431695 Santa Maria do Herval,1
431720 Santa Rosa,7
431730 Santa Vitória do Palmar,13
431700 Santana da Boa Vista,1
431740 Santiago,11
431750 Santo Ângelo,20
431760 Santo Antônio da Patrulha,13
431770 Santo Antônio das Missões,3
431780 Santo Augusto,1
431795 Santo Expedito do Sul,1
431800 São Borja,23
431805 São Domingos do Sul,1
431810 São Francisco de Assis,1
431820 São Francisco de Paula,3
431830 São Gabriel,16
431840 São Jerônimo,17
431848 São José do Hortêncio,1
431850 São José do Norte,11
431860 São José do Ouro,1
431870 São Leopoldo,120
431880 São Lourenço do Sul,9
431890 São Luiz Gonzaga,10
431900 São Marcos,9
431910 São Martinho,1
431940 São Pedro do Sul,1
431950 São Sebastião do Caí,5
431960 São Sepé,3
431971 São Valentim do Sul,1
431990 Sapiranga,28
432000 Sapucaia do Sul,101
432010 Sarandi,3
432026 Segredo,2
432035 Sentinela do Sul,1
432040 Serafina Corrêa,3
432045 Sério,1
432060 Severiano de Almeida,1
432070 Sobradinho,10
432080 Soledade,9
432085 Tabaí,4
432090 Tapejara,2
432100 Tapera,1
432110 Tapes,9
432120 Taquara,28
432130 Taquari,7
432135 Tavares,2
432140 Tenente Portela,1
432143 Terra de Areia,2
432145 Teutônia,7
432150 Torres,32
432160 Tramandaí,32
432166 Três Cachoeiras,1
432180 Três de Maio,1
432190 Três Passos,2
432200 Triunfo,9
432210 Tucunduva,2
432220 Tupanciretã,1
432232 Turuçu,2
